,PharmGKB ID,Name,Source,Testing Level,Has Prescribing Info,Has Dosing Info,Has Alternate Drug,Prescribing,Chemicals,Genes,Variants/Haplotypes,type,drugbank_id,name,indication,atc_codes,actions,pubmed_ids,uniprot,EntryName,ProteinID,ProteinFamily,ProteinSuperFamily
0,PA166184405,Annotation of Swissmedic Label for brexpiprazole and CYP2D6,Swissmedic,Actionable PGx,Prescribing Info,Dosing Info,,Prescribing,brexpiprazole,CYP2D6,,small molecule,DB09128,brexpiprazole,As an adjunctive treatment of major depressive disorder (MDD) and for treatment of schizophrenia. ,['N05AX16'],agonist|partial agonist,24947465,P08908,5ht1a_human,5ht1a,"G-protein coupled receptor 1 family, 5-hydroxytryptamine receptor subfamily, HTR1A sub-subfamily",G-protein coupled receptor
1,PA166184405,Annotation of Swissmedic Label for brexpiprazole and CYP2D6,Swissmedic,Actionable PGx,Prescribing Info,Dosing Info,,Prescribing,brexpiprazole,CYP2D6,,small molecule,DB09128,brexpiprazole,As an adjunctive treatment of major depressive disorder (MDD) and for treatment of schizophrenia. ,['N05AX16'],agonist|partial agonist,24947465,P14416,drd2_human,drd2,G-protein coupled receptor 1 family,G-protein coupled receptor
2,PA166184405,Annotation of Swissmedic Label for brexpiprazole and CYP2D6,Swissmedic,Actionable PGx,Prescribing Info,Dosing Info,,Prescribing,brexpiprazole,CYP2D6,,small molecule,DB09128,brexpiprazole,As an adjunctive treatment of major depressive disorder (MDD) and for treatment of schizophrenia. ,['N05AX16'],antagonist,24947465,P28223,5ht2a_human,5ht2a,G-protein coupled receptor 1 family,G-protein coupled receptor
3,PA166184405,Annotation of Swissmedic Label for brexpiprazole and CYP2D6,Swissmedic,Actionable PGx,Prescribing Info,Dosing Info,,Prescribing,brexpiprazole,CYP2D6,,small molecule,DB09128,brexpiprazole,As an adjunctive treatment of major depressive disorder (MDD) and for treatment of schizophrenia. ,['N05AX16'],antagonist,25225185,P18825,ada2c_human,ada2c,"G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRA2C sub-subfamily",G-protein coupled receptor
4,PA166184405,Annotation of Swissmedic Label for brexpiprazole and CYP2D6,Swissmedic,Actionable PGx,Prescribing Info,Dosing Info,,Prescribing,brexpiprazole,CYP2D6,,small molecule,DB09128,brexpiprazole,As an adjunctive treatment of major depressive disorder (MDD) and for treatment of schizophrenia. ,['N05AX16'],antagonist,25225185,P35368,ada1b_human,ada1b,"G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRA1B sub-subfamily",G-protein coupled receptor
5,PA166182930,Annotation of EMA Label for brexpiprazole and CYP2D6,EMA,Actionable PGx,Prescribing Info,Dosing Info,,Prescribing,brexpiprazole,CYP2D6,,small molecule,DB09128,brexpiprazole,As an adjunctive treatment of major depressive disorder (MDD) and for treatment of schizophrenia. ,['N05AX16'],agonist|partial agonist,24947465,P08908,5ht1a_human,5ht1a,"G-protein coupled receptor 1 family, 5-hydroxytryptamine receptor subfamily, HTR1A sub-subfamily",G-protein coupled receptor
6,PA166182930,Annotation of EMA Label for brexpiprazole and CYP2D6,EMA,Actionable PGx,Prescribing Info,Dosing Info,,Prescribing,brexpiprazole,CYP2D6,,small molecule,DB09128,brexpiprazole,As an adjunctive treatment of major depressive disorder (MDD) and for treatment of schizophrenia. ,['N05AX16'],agonist|partial agonist,24947465,P14416,drd2_human,drd2,G-protein coupled receptor 1 family,G-protein coupled receptor
7,PA166182930,Annotation of EMA Label for brexpiprazole and CYP2D6,EMA,Actionable PGx,Prescribing Info,Dosing Info,,Prescribing,brexpiprazole,CYP2D6,,small molecule,DB09128,brexpiprazole,As an adjunctive treatment of major depressive disorder (MDD) and for treatment of schizophrenia. ,['N05AX16'],antagonist,24947465,P28223,5ht2a_human,5ht2a,G-protein coupled receptor 1 family,G-protein coupled receptor
8,PA166182930,Annotation of EMA Label for brexpiprazole and CYP2D6,EMA,Actionable PGx,Prescribing Info,Dosing Info,,Prescribing,brexpiprazole,CYP2D6,,small molecule,DB09128,brexpiprazole,As an adjunctive treatment of major depressive disorder (MDD) and for treatment of schizophrenia. ,['N05AX16'],antagonist,25225185,P18825,ada2c_human,ada2c,"G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRA2C sub-subfamily",G-protein coupled receptor
9,PA166182930,Annotation of EMA Label for brexpiprazole and CYP2D6,EMA,Actionable PGx,Prescribing Info,Dosing Info,,Prescribing,brexpiprazole,CYP2D6,,small molecule,DB09128,brexpiprazole,As an adjunctive treatment of major depressive disorder (MDD) and for treatment of schizophrenia. ,['N05AX16'],antagonist,25225185,P35368,ada1b_human,ada1b,"G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRA1B sub-subfamily",G-protein coupled receptor
10,PA166160054,Annotation of FDA Label for brexpiprazole and CYP2D6,FDA,Actionable PGx,Prescribing Info,Dosing Info,,Prescribing,brexpiprazole,CYP2D6,,small molecule,DB09128,brexpiprazole,As an adjunctive treatment of major depressive disorder (MDD) and for treatment of schizophrenia. ,['N05AX16'],agonist|partial agonist,24947465,P08908,5ht1a_human,5ht1a,"G-protein coupled receptor 1 family, 5-hydroxytryptamine receptor subfamily, HTR1A sub-subfamily",G-protein coupled receptor
11,PA166160054,Annotation of FDA Label for brexpiprazole and CYP2D6,FDA,Actionable PGx,Prescribing Info,Dosing Info,,Prescribing,brexpiprazole,CYP2D6,,small molecule,DB09128,brexpiprazole,As an adjunctive treatment of major depressive disorder (MDD) and for treatment of schizophrenia. ,['N05AX16'],agonist|partial agonist,24947465,P14416,drd2_human,drd2,G-protein coupled receptor 1 family,G-protein coupled receptor
12,PA166160054,Annotation of FDA Label for brexpiprazole and CYP2D6,FDA,Actionable PGx,Prescribing Info,Dosing Info,,Prescribing,brexpiprazole,CYP2D6,,small molecule,DB09128,brexpiprazole,As an adjunctive treatment of major depressive disorder (MDD) and for treatment of schizophrenia. ,['N05AX16'],antagonist,24947465,P28223,5ht2a_human,5ht2a,G-protein coupled receptor 1 family,G-protein coupled receptor
13,PA166160054,Annotation of FDA Label for brexpiprazole and CYP2D6,FDA,Actionable PGx,Prescribing Info,Dosing Info,,Prescribing,brexpiprazole,CYP2D6,,small molecule,DB09128,brexpiprazole,As an adjunctive treatment of major depressive disorder (MDD) and for treatment of schizophrenia. ,['N05AX16'],antagonist,25225185,P18825,ada2c_human,ada2c,"G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRA2C sub-subfamily",G-protein coupled receptor
14,PA166160054,Annotation of FDA Label for brexpiprazole and CYP2D6,FDA,Actionable PGx,Prescribing Info,Dosing Info,,Prescribing,brexpiprazole,CYP2D6,,small molecule,DB09128,brexpiprazole,As an adjunctive treatment of major depressive disorder (MDD) and for treatment of schizophrenia. ,['N05AX16'],antagonist,25225185,P35368,ada1b_human,ada1b,"G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRA1B sub-subfamily",G-protein coupled receptor
15,PA166184114,Annotation of Swissmedic Label for capecitabine and DPYD,Swissmedic,Actionable PGx,Prescribing Info,Dosing Info,Alternate Drug,Prescribing,capecitabine,DPYD,,small molecule,DB01101,capecitabine,"For the treatment of patients with metastatic breast cancer resistant to both paclitaxel and an anthracycline-containing chemotherapy regimen. May also be used in combination with docetaxel for the treatment of metastatic breast cancer in patients who have failed to respond to, or recurred or relasped during or following anthracycline-containing chemotherapy. Capecitabine is used alone as an adjuvant therapy following the complete resection of primary tumor in patients with stage III colon cancer when monotherapy with fluroprymidine is preferred. The use or capecitabine in combination regimens for advanced gastric cancer is currently being investigated.",['L01BC06'],inhibitor,15132128|15134221|15709193|15866500|16926630|11752352,P04818,tysy_human,tysy,Thymidylate synthase family,Thymidylate n
