pdb_code,protein,family,species,preferred_chain,resolution,publication_date,type,state,distance,publication,ligands,signalling_protein
6HLP,nk1r_human,001_002_029_001,Homo sapiens,A,2.2,2019-01-16,X-ray diffraction,Inactive,0.8,https://dx.doi.org/10.1038/S41467-018-07939-8,"[{'name': 'Netupitant', 'type': 'small molecule', 'function': 'Antagonist'}]",
6ME5,mtr1a_human,001_005_001_001,Homo sapiens,A,3.2,2019-04-24,X-ray diffraction,Inactive,-0.79,https://dx.doi.org/10.1038/S41586-019-1141-3,"[{'name': 'Agomelatine', 'type': 'small molecule', 'function': 'Agonist'}]",
6GPS,ccr2_human,001_003_002_002,Homo sapiens,A,3.3,2019-01-02,X-ray diffraction,Inactive,0.82,https://dx.doi.org/10.1016/J.STR.2018.10.027,"[{'name': 'MK-0812', 'type': 'small molecule', 'function': 'Antagonist'}]",
4RWD,oprd_human,001_002_022_001,Homo sapiens,A,2.7,2015-01-14,X-ray diffraction,Inactive,-0.83,https://dx.doi.org/10.1038/NSMB.2965,"[{'name': 'DIPP-NH2', 'type': 'peptide', 'function': 'Antagonist'}]",
6H7O,adrb1_melga,001_001_003_007,Meleagris gallopavo,A,2.8,2018-10-17,X-ray diffraction,Active,9.29,https://dx.doi.org/10.1126/SCIENCE.AAU5595,"[{'name': '(S)-Cyanopindolol', 'type': 'small molecule', 'function': 'Agonist'}]",
4OO9,grm5_human,004_002_002_005,Homo sapiens,A,2.6,2014-07-02,X-ray diffraction,Inactive,3.98,https://dx.doi.org/10.1038/NATURE13396,"[{'name': 'Mavoglurant', 'type': 'small molecule', 'function': 'NAM'}]",
7M3E,casr_human,004_001_001_001,Homo sapiens,B,3.2,2021-06-30,Electron microscopy,Inactive,10.67,https://dx.doi.org/10.1038/S41586-021-03691-0,"[{'name': 'Calcium ion', 'type': 'ion', 'function': 'Agonist'}, {'name': 'NPS-2143', 'type': 'small molecule', 'function': 'NAM'}, {'name': 'Tryptophan', 'type': 'amino acid', 'function': 'PAM'}]",
5ZK3,acm2_human,001_001_002_002,Homo sapiens,A,2.6,2018-11-21,X-ray diffraction,Inactive,0.58,https://dx.doi.org/10.1038/S41589-018-0152-Y,"[{'name': 'QNB', 'type': 'small molecule', 'function': 'Antagonist'}]",
3UZA,aa2ar_human,001_006_001_002,Homo sapiens,A,3.27,2012-03-21,X-ray diffraction,Inactive,-0.56,https://dx.doi.org/10.1021/JM201376W,"[{'name': '6-(2,6-Dimethylpyridin-4-yl)-5-phenyl-1,2,4-triazin-3-amine', 'type': 'small molecule', 'function': 'Antagonist'}]",
6PRZ,adrb2_human,001_001_003_008,Homo sapiens,A,2.8,2019-11-13,X-ray diffraction,Inactive,-1.29,https://dx.doi.org/10.1107/S2052252519013137,"[{'name': '(S)-Alprenolol', 'type': 'small molecule', 'function': 'Antagonist'}]",
5MZJ,aa2ar_human,001_006_001_002,Homo sapiens,A,2.0,2017-07-26,X-ray diffraction,Inactive,-0.54,https://dx.doi.org/10.1016/J.STR.2017.06.012,"[{'name': 'Theophylline', 'type': 'small molecule', 'function': 'Antagonist'}]",
