variant,gene,type,level of evidence,chemicals,phenotypes,Entry,Entry name,Protein names,Gene names,Protein families,Gene names  (primary ),rsID,gnomAD_AF,consequence,SequenceNumber,naa,oaa
rs1042713,ADRB2,Efficacy,2A,salmeterol,Asthma,P07550,ADRB2_HUMAN,Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor),ADRB2 ADRB2R B2AR,"G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRB2 sub-subfamily",ADRB2,rs1042713,0.425,missense,16.0,R,G
rs1042713,ADRB2,Toxicity,3,risperidone,Schizophrenia,P07550,ADRB2_HUMAN,Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor),ADRB2 ADRB2R B2AR,"G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRB2 sub-subfamily",ADRB2,rs1042713,0.425,missense,16.0,R,G
rs1042713,ADRB2,Efficacy,3,methacholine,Asthma,P07550,ADRB2_HUMAN,Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor),ADRB2 ADRB2R B2AR,"G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRB2 sub-subfamily",ADRB2,rs1042713,0.425,missense,16.0,R,G
rs1042713,ADRB2,Efficacy,3,tiotropium,Asthma,P07550,ADRB2_HUMAN,Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor),ADRB2 ADRB2R B2AR,"G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRB2 sub-subfamily",ADRB2,rs1042713,0.425,missense,16.0,R,G
rs1042713,ADRB2,Other,3,isoproterenol,,P07550,ADRB2_HUMAN,Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor),ADRB2 ADRB2R B2AR,"G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRB2 sub-subfamily",ADRB2,rs1042713,0.425,missense,16.0,R,G
rs1042713,ADRB2,Efficacy,3,"Ace Inhibitors, Plain,Angiotensin II Antagonists,Beta Blocking Agents,digoxin,diuretics,spironolactone",Heart Failure,P07550,ADRB2_HUMAN,Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor),ADRB2 ADRB2R B2AR,"G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRB2 sub-subfamily",ADRB2,rs1042713,0.425,missense,16.0,R,G
rs1042713,ADRB2,Dosage,3,"ephedrine,phenylephrine",,P07550,ADRB2_HUMAN,Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor),ADRB2 ADRB2R B2AR,"G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRB2 sub-subfamily",ADRB2,rs1042713,0.425,missense,16.0,R,G
rs1042713,ADRB2,Efficacy,3,propranolol,Liver Cirrhosis,P07550,ADRB2_HUMAN,Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor),ADRB2 ADRB2R B2AR,"G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRB2 sub-subfamily",ADRB2,rs1042713,0.425,missense,16.0,R,G
rs1042713,ADRB2,Efficacy,3,"atenolol,metoprolol",Tachycardia,P07550,ADRB2_HUMAN,Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor),ADRB2 ADRB2R B2AR,"G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRB2 sub-subfamily",ADRB2,rs1042713,0.425,missense,16.0,R,G
rs1042713,ADRB2,Efficacy,3,corticosteroids,Asthma,P07550,ADRB2_HUMAN,Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor),ADRB2 ADRB2R B2AR,"G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRB2 sub-subfamily",ADRB2,rs1042713,0.425,missense,16.0,R,G
rs1042713,ADRB2,Efficacy,3,"corticosteroids,selective beta-2-adrenoreceptor agonists",Asthma,P07550,ADRB2_HUMAN,Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor),ADRB2 ADRB2R B2AR,"G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRB2 sub-subfamily",ADRB2,rs1042713,0.425,missense,16.0,R,G
rs1042713,ADRB2,Efficacy,3,salbutamol,Asthma,P07550,ADRB2_HUMAN,Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor),ADRB2 ADRB2R B2AR,"G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRB2 sub-subfamily",ADRB2,rs1042713,0.425,missense,16.0,R,G
rs1042713,ADRB2,Efficacy,4,benazepril,Essential hypertension,P07550,ADRB2_HUMAN,Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor),ADRB2 ADRB2R B2AR,"G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRB2 sub-subfamily",ADRB2,rs1042713,0.425,missense,16.0,R,G
rs1042714,ADRB2,Efficacy,3,enalapril,"Hypertrophy, Left Ventricular",P07550,ADRB2_HUMAN,Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor),ADRB2 ADRB2R B2AR,"G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRB2 sub-subfamily",ADRB2,rs1042714,0.323,stop_gained,,,
rs1042714,ADRB2,Efficacy,3,carvedilol,Heart Failure,P07550,ADRB2_HUMAN,Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor),ADRB2 ADRB2R B2AR,"G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRB2 sub-subfamily",ADRB2,rs1042714,0.323,stop_gained,,,
rs1042714,ADRB2,Efficacy,3,terbutaline,,P07550,ADRB2_HUMAN,Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor),ADRB2 ADRB2R B2AR,"G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRB2 sub-subfamily",ADRB2,rs1042714,0.323,stop_gained,,,
